Age,EducationLevel,FieldOfStudy,InstitutionType,MonthlyIncome,LearningFrequency,PreferredFormats,UsedPlatforms,StudyTime,AttentionSpan,LearningMotivation,LearningChallenges,DeviceUsed,WillingnessToUse,WillingToShareData,ValuableFeatures,MonthlyWillingnessToPay,ContentDeliveryMode,PreferredLanguages,CareAboutCertification,ConvincingFactors,GoalTrackingPreference,TryNewToolsFrequency,OnlineLearningFear,RecommendLikelihood
20,Undergraduate,Business,Other,₹30k–60k,Occasionally,Interactive quizzes,Udemy,Random,15–30 mins,Academic success,"Hard to stay focused, Time management",Laptop,4,Yes,"Peer comparison, Weekly reports",630.8,Video only,"English, Regional, Hindi",Yes,"Trial success, Better grades, App reviews",Achievement badges,Often,Too boring,4
22,Undergraduate,Engineering,Self-Learning,₹30k–60k,Daily,Video lectures,"BYJU'S, Udemy, Khan Academy",Late night,15–30 mins,Curiosity,"Lack of support, Time management",Desktop,2,Yes,"Weekly reports, Adaptive quizzes, Mentor guidance",372.23,Interactive modules,"Mix of English + Regional, Hindi, English",No,Better structure,Mentor reviews,Always,Wasting money,3
18,Undergraduate,Law,Coaching Institute,₹30k–60k,Occasionally,"Interactive quizzes, Video lectures",Khan Academy,Afternoon,>60 mins,Academic success,Poor content quality,Laptop,1,Yes,"Adaptive quizzes, Gamification",245.09,Text + Video,"Mix of English + Regional, Regional, English",Yes,Trial success,Achievement badges,Often,Too boring,5
20,Other,Engineering,Self-Learning,₹10k–30k,Daily,"Text-based guides, Group discussions, Video lectures","BYJU'S, None",Evening,<15 mins,Curiosity,Hard to understand,Desktop,2,Yes,Personalized schedules,274.12,Mixed,"Regional, English",Yes,"Better grades, Better structure",Mentor reviews,Often,Wasting time,3
22,Professional Course,Engineering,Other,₹60k–100k,Occasionally,"Video lectures, Interactive quizzes, Flashcards","Unacademy, Udemy, None",Late night,>60 mins,Career goals,Time management,Tablet,2,Yes,"Personalized schedules, Adaptive quizzes",11.88,AI tutor,"Regional, Hindi, English",Yes,"Better grades, Trial success",Mentor reviews,Rarely,Too boring,3
24,Professional Course,Law,Online University,< ₹10k,Daily,"Video lectures, Flashcards",Udemy,Afternoon,15–30 mins,Parental push,"Hard to stay focused, Poor content quality",Tablet,5,Yes,Adaptive quizzes,170.5,Video only,Hindi,No,"App reviews, Better structure",Progress bars,Often,Not understanding,5
20,Undergraduate,Engineering,Traditional College,₹60k–100k,Rarely,Interactive quizzes,"Unacademy, BYJU'S",Random,>60 mins,Certification,"Poor content quality, Lack of support",Tablet,4,No,"Personalized schedules, Mentor guidance",527.52,AI tutor,"Hindi, Regional",Yes,"Trial success, Better structure",Mentor reviews,Always,Not understanding,4
20,Professional Course,Medical,Coaching Institute,₹10k–30k,Occasionally,"Flashcards, Interactive quizzes, Group discussions","BYJU'S, None",Evening,>60 mins,Parental push,Hard to understand,Laptop,4,Yes,"Adaptive quizzes, Weekly reports, Personalized schedules",629.12,AI tutor,"Mix of English + Regional, English, Regional",No,"Certifications, Trial success",Mentor reviews,Often,Wasting time,4
19,Professional Course,Engineering,Online University,₹60k–100k,Occasionally,"Interactive quizzes, Group discussions, One-on-one mentoring","None, Coursera, Khan Academy",Afternoon,45–60 mins,Parental push,"Hard to stay focused, Hard to understand, Poor content quality",Desktop,4,Yes,"Mentor guidance, Weekly reports",137.01,Mixed,"Hindi, English, Mix of English + Regional",No,"Certifications, Better grades, App reviews",Progress bars,Occasionally,Not finishing,5
27,High School,Law,Coaching Institute,> ₹100k,Never,"Group discussions, Video lectures","Khan Academy, Udemy",Late night,15–30 mins,Certification,"Lack of support, Poor content quality",Desktop,2,Yes,"Weekly reports, Gamification, Peer comparison",410.93,Video only,"Hindi, Regional",Yes,"Better structure, Better grades",Achievement badges,Occasionally,Not understanding,4
16,Professional Course,Law,Self-Learning,₹10k–30k,Rarely,"Video lectures, Interactive quizzes, Group discussions",None,Evening,>60 mins,Certification,Poor content quality,Laptop,4,Yes,"Adaptive quizzes, Mentor guidance",404.37,Text + Video,English,Yes,Better grades,Score tracking,Always,Not finishing,1
20,High School,Business,Online University,₹10k–30k,Often,"Group discussions, Video lectures","YouTube, Unacademy",Morning,30–45 mins,Curiosity,"Time management, Hard to understand, Lack of support",Mobile,5,Yes,"Adaptive quizzes, Mentor guidance",307.67,Interactive modules,"English, Mix of English + Regional, Hindi",Yes,Better grades,Progress bars,Rarely,Not understanding,5
25,Other,Business,Traditional College,₹10k–30k,Occasionally,"Group discussions, Flashcards, Video lectures","Udemy, Coursera, YouTube",Morning,<15 mins,Curiosity,Hard to understand,Mobile,4,Yes,"Peer comparison, Mentor guidance, Weekly reports",396.87,Text + Video,"Mix of English + Regional, Regional",No,"Better grades, Certifications",Achievement badges,Occasionally,Wasting money,4
24,Undergraduate,Arts,Online University,₹30k–60k,Often,"Interactive quizzes, Text-based guides","Khan Academy, BYJU'S, YouTube",Evening,<15 mins,Career goals,"Time management, Hard to stay focused, Hard to understand",Desktop,4,Yes,Mentor guidance,336.27,Mixed,"Hindi, Mix of English + Regional",Yes,"App reviews, Peer usage",Achievement badges,Always,Not understanding,5
25,Postgraduate,Science,Traditional College,₹10k–30k,Often,Text-based guides,Udemy,Late night,15–30 mins,Curiosity,"Poor content quality, Time management",Mobile,5,Yes,"Adaptive quizzes, Personalized schedules, Gamification",541.1,Text + Video,"Regional, Mix of English + Regional",Yes,"Certifications, Trial success",Score tracking,Rarely,Too boring,5
16,Postgraduate,Science,Coaching Institute,< ₹10k,Rarely,Flashcards,"None, BYJU'S",Evening,45–60 mins,Peer pressure,"Procrastination, Lack of support, Hard to understand",Desktop,4,No,"Personalized schedules, Weekly reports",336.63,Interactive modules,"Mix of English + Regional, Hindi",Yes,"Better structure, Peer usage, Better grades",Achievement badges,Often,Not finishing,1
19,Other,Medical,Other,₹30k–60k,Often,"Text-based guides, Interactive quizzes","YouTube, Coursera",Late night,15–30 mins,Certification,"Hard to stay focused, Hard to understand",Laptop,2,Yes,"Adaptive quizzes, Gamification, Mentor guidance",231.07,Interactive modules,"English, Hindi, Mix of English + Regional",Yes,Better structure,Progress bars,Often,Not finishing,5
20,High School,Engineering,Coaching Institute,₹10k–30k,Occasionally,"Text-based guides, Flashcards",Coursera,Afternoon,45–60 mins,Certification,"Hard to understand, Hard to stay focused",Desktop,5,Yes,Gamification,316.85,Interactive modules,"Regional, Hindi",Yes,"Certifications, App reviews",Mentor reviews,Often,Not finishing,4
20,Postgraduate,Science,Online University,₹60k–100k,Occasionally,Flashcards,Unacademy,Morning,<15 mins,Certification,"Procrastination, Hard to stay focused, Time management",Laptop,4,Yes,"Personalized schedules, Mentor guidance, Peer comparison",206.67,Mixed,Hindi,Yes,Peer usage,Score tracking,Occasionally,Wasting time,4
21,Undergraduate,Other,Online University,₹30k–60k,Occasionally,Text-based guides,YouTube,Random,45–60 mins,Academic success,"Procrastination, Lack of support, Time management",Desktop,4,Yes,"Mentor guidance, Weekly reports",220.81,Mixed,"Hindi, Regional",Yes,"Better structure, Trial success, Better grades",Progress bars,Occasionally,Too boring,3
19,Postgraduate,Medical,Online University,< ₹10k,Often,"Video lectures, Group discussions",Khan Academy,Random,45–60 mins,Certification,"Poor content quality, Hard to understand, Lack of support",Laptop,4,No,"Adaptive quizzes, Personalized schedules, Mentor guidance",276.93,Text + Video,Regional,Yes,"Peer usage, Trial success, Better structure",Achievement badges,Often,Wasting time,5
16,Other,Arts,Other,₹10k–30k,Occasionally,"Group discussions, Flashcards","Khan Academy, Coursera, BYJU'S",Evening,45–60 mins,Career goals,"Hard to stay focused, Procrastination, Hard to understand",Desktop,3,Yes,"Personalized schedules, Gamification",742.5,Video only,"Mix of English + Regional, Regional",No,Certifications,Achievement badges,Often,Not finishing,5
23,Undergraduate,Business,Other,< ₹10k,Daily,One-on-one mentoring,"Unacademy, Khan Academy, BYJU'S",Random,15–30 mins,Peer pressure,"Hard to understand, Poor content quality, Lack of support",Mobile,2,Yes,"Peer comparison, Weekly reports, Mentor guidance",97.27,Text + Video,English,Yes,"Certifications, Better grades",Score tracking,Often,Not finishing,3
21,Professional Course,Science,Coaching Institute,> ₹100k,Often,"Group discussions, One-on-one mentoring","YouTube, Khan Academy, Coursera",Late night,>60 mins,Curiosity,"Hard to stay focused, Time management",Mobile,5,Yes,"Adaptive quizzes, Weekly reports",363.41,Interactive modules,"Regional, Hindi",Yes,"Better structure, App reviews, Trial success",Progress bars,Occasionally,Wasting money,5
23,Undergraduate,Other,Coaching Institute,₹30k–60k,Often,"Text-based guides, Video lectures, One-on-one mentoring","YouTube, None, BYJU'S",Morning,<15 mins,Career goals,Poor content quality,Mobile,4,Yes,"Mentor guidance, Gamification",93.91,Mixed,"English, Mix of English + Regional",No,"Better grades, Certifications",Mentor reviews,Often,Not finishing,4
18,Other,Engineering,Self-Learning,₹60k–100k,Often,"Text-based guides, Interactive quizzes, Group discussions","BYJU'S, None",Random,<15 mins,Career goals,"Hard to understand, Lack of support",Mobile,3,Yes,"Weekly reports, Gamification",289.94,AI tutor,"Regional, Hindi",Yes,Trial success,Achievement badges,Often,Wasting money,3
24,Other,Law,Self-Learning,₹60k–100k,Often,"Text-based guides, Interactive quizzes, Video lectures","BYJU'S, Unacademy, Udemy",Evening,30–45 mins,Peer pressure,Time management,Desktop,5,Yes,"Gamification, Weekly reports, Peer comparison",283.3,AI tutor,Hindi,Yes,"Better grades, App reviews",Achievement badges,Occasionally,Wasting money,5
21,Undergraduate,Engineering,Online University,< ₹10k,Daily,Interactive quizzes,Unacademy,Late night,45–60 mins,Peer pressure,"Time management, Hard to stay focused, Procrastination",Desktop,4,No,Peer comparison,181.18,Video only,"Hindi, Regional",No,"Trial success, Better structure",Mentor reviews,Often,Not finishing,5
18,Other,Business,Self-Learning,< ₹10k,Daily,"Interactive quizzes, Flashcards, Group discussions","Khan Academy, Udemy",Evening,>60 mins,Career goals,Hard to stay focused,Mobile,3,Yes,"Personalized schedules, Mentor guidance",331.13,Mixed,"Mix of English + Regional, English",Yes,"Better structure, Trial success, Better grades",Mentor reviews,Occasionally,Wasting time,5
20,Postgraduate,Business,Coaching Institute,₹30k–60k,Occasionally,Group discussions,"Coursera, Udemy",Late night,30–45 mins,Curiosity,Lack of support,Laptop,3,Yes,"Peer comparison, Mentor guidance",471.11,Mixed,"Hindi, Regional, Mix of English + Regional",No,"Certifications, App reviews",Progress bars,Often,Not finishing,4
20,Professional Course,Other,Other,₹10k–30k,Occasionally,"Flashcards, Interactive quizzes, Video lectures","Unacademy, Coursera, Udemy",Random,30–45 mins,Curiosity,"Time management, Hard to stay focused, Procrastination",Desktop,5,Yes,Adaptive quizzes,184.02,Mixed,English,Yes,Trial success,Progress bars,Often,Not finishing,2
20,Undergraduate,Medical,Self-Learning,₹30k–60k,Often,"Flashcards, Group discussions","Khan Academy, Coursera",Evening,45–60 mins,Career goals,Hard to stay focused,Desktop,5,No,"Weekly reports, Gamification, Personalized schedules",575.6,Video only,"Hindi, Mix of English + Regional, English",Yes,"Trial success, Peer usage",Achievement badges,Often,Wasting time,1
22,Other,Engineering,Online University,₹10k–30k,Occasionally,One-on-one mentoring,Khan Academy,Evening,>60 mins,Certification,Procrastination,Mobile,5,Yes,Adaptive quizzes,234.1,Text + Video,"Regional, Hindi",Yes,Certifications,Score tracking,Rarely,Not finishing,5
16,Undergraduate,Other,Traditional College,< ₹10k,Occasionally,"Interactive quizzes, Flashcards, One-on-one mentoring","BYJU'S, YouTube, Unacademy",Evening,>60 mins,Curiosity,Lack of support,Desktop,4,Yes,Gamification,214.92,Text + Video,"Regional, Mix of English + Regional, Hindi",No,Trial success,Score tracking,Occasionally,Wasting money,4
24,High School,Business,Other,₹10k–30k,Daily,One-on-one mentoring,"BYJU'S, Coursera, Khan Academy",Late night,<15 mins,Academic success,"Procrastination, Time management, Hard to understand",Laptop,4,No,"Mentor guidance, Gamification, Weekly reports",249.49,Text + Video,Mix of English + Regional,Yes,"Certifications, Trial success, Better structure",Progress bars,Occasionally,Wasting money,4
19,Postgraduate,Medical,Self-Learning,< ₹10k,Daily,"Flashcards, Interactive quizzes","Unacademy, Coursera",Afternoon,>60 mins,Curiosity,Hard to stay focused,Laptop,5,Yes,"Mentor guidance, Gamification",287.28,AI tutor,"Mix of English + Regional, Regional",Yes,Certifications,Achievement badges,Often,Wasting time,4
19,Other,Science,Online University,₹10k–30k,Often,Interactive quizzes,"Khan Academy, Coursera",Afternoon,45–60 mins,Parental push,"Lack of support, Procrastination",Mobile,4,Yes,"Peer comparison, Gamification, Mentor guidance",397.13,Text + Video,Hindi,Yes,"App reviews, Peer usage, Certifications",Score tracking,Often,Wasting money,3
19,Professional Course,Science,Traditional College,< ₹10k,Daily,"Flashcards, Video lectures, Text-based guides","BYJU'S, Udemy",Evening,45–60 mins,Career goals,"Hard to understand, Poor content quality",Tablet,3,Yes,Personalized schedules,379.78,Video only,"Hindi, Regional, English",Yes,"Peer usage, Trial success",Score tracking,Always,Too boring,4
21,Postgraduate,Science,Self-Learning,< ₹10k,Often,"Flashcards, Video lectures, Text-based guides",YouTube,Random,30–45 mins,Academic success,Poor content quality,Mobile,5,Yes,Gamification,92.07,Text + Video,"Regional, Mix of English + Regional, Hindi",Yes,"Certifications, Better structure",Progress bars,Often,Not finishing,4
18,Undergraduate,Law,Self-Learning,₹30k–60k,Occasionally,Flashcards,"Udemy, YouTube, None",Afternoon,45–60 mins,Curiosity,"Lack of support, Time management, Procrastination",Mobile,2,No,"Gamification, Weekly reports",338.63,Mixed,"Regional, English, Hindi",No,"App reviews, Peer usage, Certifications",Progress bars,Often,Not understanding,4
22,Other,Engineering,Other,₹30k–60k,Daily,Flashcards,"YouTube, Khan Academy, Unacademy",Morning,15–30 mins,Career goals,"Lack of support, Hard to understand, Poor content quality",Desktop,3,No,"Adaptive quizzes, Mentor guidance",441.59,Mixed,"Mix of English + Regional, English, Hindi",Yes,App reviews,Score tracking,Often,Wasting time,3
23,Other,Other,Online University,₹10k–30k,Rarely,"Flashcards, One-on-one mentoring, Group discussions","None, Unacademy, Udemy",Evening,>60 mins,Academic success,"Procrastination, Time management",Tablet,5,Yes,"Peer comparison, Weekly reports, Personalized schedules",370.08,Video only,"English, Regional",Yes,"Trial success, Better grades",Mentor reviews,Never,Not finishing,4
24,Postgraduate,Business,Self-Learning,₹30k–60k,Daily,"One-on-one mentoring, Text-based guides",YouTube,Late night,>60 mins,Certification,"Hard to stay focused, Lack of support",Mobile,5,Yes,"Gamification, Personalized schedules, Weekly reports",342.48,Mixed,"Mix of English + Regional, Hindi, Regional",Yes,"Trial success, Peer usage, Better structure",Achievement badges,Often,Not finishing,5
23,Postgraduate,Science,Self-Learning,< ₹10k,Rarely,One-on-one mentoring,"Khan Academy, Udemy, Coursera",Random,45–60 mins,Career goals,"Procrastination, Poor content quality",Desktop,5,No,"Adaptive quizzes, Weekly reports",357.05,Video only,English,Yes,"Trial success, App reviews",Mentor reviews,Often,Too boring,5
20,Undergraduate,Arts,Traditional College,₹10k–30k,Never,"Interactive quizzes, Flashcards",Udemy,Morning,>60 mins,Certification,"Hard to understand, Lack of support, Time management",Tablet,4,Yes,Adaptive quizzes,329.8,AI tutor,Mix of English + Regional,Yes,"Better structure, Better grades, Certifications",Achievement badges,Often,Too boring,2
23,Postgraduate,Medical,Other,> ₹100k,Often,"Text-based guides, One-on-one mentoring, Flashcards","Khan Academy, YouTube, None",Late night,30–45 mins,Peer pressure,"Procrastination, Hard to understand, Hard to stay focused",Mobile,4,Yes,"Peer comparison, Adaptive quizzes, Personalized schedules",317.9,Mixed,"Regional, Mix of English + Regional",Yes,"Better structure, Certifications",Mentor reviews,Occasionally,Wasting money,1
22,High School,Engineering,Coaching Institute,₹30k–60k,Often,"Interactive quizzes, Flashcards, One-on-one mentoring",YouTube,Evening,15–30 mins,Curiosity,"Procrastination, Time management",Laptop,4,No,"Peer comparison, Weekly reports",529.13,Interactive modules,"Regional, Mix of English + Regional, Hindi",No,Better structure,Achievement badges,Often,Too boring,4
25,Undergraduate,Science,Online University,₹10k–30k,Occasionally,"Interactive quizzes, Video lectures","None, Unacademy, Coursera",Random,<15 mins,Curiosity,"Poor content quality, Hard to understand, Hard to stay focused",Mobile,5,Yes,Peer comparison,619.38,Text + Video,"Hindi, Regional",Yes,Peer usage,Mentor reviews,Occasionally,Not understanding,4
23,Undergraduate,Business,Other,₹10k–30k,Often,"One-on-one mentoring, Text-based guides","Coursera, Unacademy, None",Random,>60 mins,Career goals,"Hard to understand, Procrastination",Laptop,4,Yes,"Weekly reports, Adaptive quizzes, Personalized schedules",207.4,Mixed,"Regional, Mix of English + Regional",No,"Better grades, Better structure",Mentor reviews,Occasionally,Wasting money,4
22,Postgraduate,Arts,Online University,₹10k–30k,Occasionally,Group discussions,"BYJU'S, None",Random,30–45 mins,Parental push,"Time management, Hard to stay focused",Mobile,5,Yes,"Weekly reports, Mentor guidance",445.7,Interactive modules,Mix of English + Regional,No,Better grades,Mentor reviews,Always,Too boring,5
19,Undergraduate,Arts,Traditional College,₹60k–100k,Often,One-on-one mentoring,"Unacademy, YouTube, BYJU'S",Afternoon,>60 mins,Certification,"Procrastination, Hard to understand",Tablet,5,Yes,Weekly reports,224.97,Video only,"English, Hindi, Regional",Yes,"Better structure, App reviews, Certifications",Score tracking,Always,Not finishing,5
22,Professional Course,Arts,Other,< ₹10k,Daily,"Interactive quizzes, Video lectures, Text-based guides","Coursera, BYJU'S",Late night,15–30 mins,Peer pressure,"Hard to stay focused, Lack of support, Time management",Tablet,3,Yes,"Personalized schedules, Gamification, Weekly reports",357.19,Text + Video,"Mix of English + Regional, English, Regional",Yes,Trial success,Progress bars,Rarely,Not finishing,5
27,Professional Course,Law,Self-Learning,< ₹10k,Never,"Flashcards, Video lectures",Udemy,Evening,30–45 mins,Academic success,"Time management, Hard to understand, Lack of support",Tablet,4,Yes,"Mentor guidance, Peer comparison",239.02,Mixed,"Hindi, Mix of English + Regional",No,"Trial success, Certifications, Peer usage",Mentor reviews,Often,Too boring,4
24,Postgraduate,Science,Online University,> ₹100k,Never,"Video lectures, Interactive quizzes",YouTube,Random,>60 mins,Parental push,"Time management, Hard to stay focused",Tablet,5,Yes,Mentor guidance,546.58,Mixed,"Regional, English",No,"App reviews, Better grades",Progress bars,Occasionally,Wasting money,3
21,Professional Course,Business,Self-Learning,₹30k–60k,Daily,Flashcards,Unacademy,Morning,<15 mins,Parental push,Poor content quality,Mobile,3,Yes,"Peer comparison, Personalized schedules, Mentor guidance",315.59,Video only,"Hindi, English",No,"Better grades, Trial success, Better structure",Mentor reviews,Often,Not understanding,1
21,High School,Medical,Online University,₹30k–60k,Occasionally,"Text-based guides, One-on-one mentoring, Interactive quizzes",None,Morning,<15 mins,Peer pressure,"Procrastination, Hard to stay focused, Time management",Tablet,4,Yes,Peer comparison,456.35,Video only,"Hindi, English",No,"Trial success, Better grades, Better structure",Mentor reviews,Always,Wasting time,1
20,Postgraduate,Law,Online University,₹60k–100k,Daily,"Text-based guides, Group discussions","Coursera, Udemy",Evening,30–45 mins,Career goals,"Procrastination, Time management",Mobile,2,Yes,"Gamification, Peer comparison, Personalized schedules",246.78,AI tutor,"English, Hindi, Regional",No,"Peer usage, Better structure",Achievement badges,Often,Wasting money,3
18,Other,Medical,Online University,₹60k–100k,Occasionally,Flashcards,"Udemy, BYJU'S, Coursera",Afternoon,15–30 mins,Certification,"Poor content quality, Lack of support, Hard to stay focused",Laptop,5,Yes,"Mentor guidance, Personalized schedules",355.65,AI tutor,Mix of English + Regional,Yes,"Certifications, Trial success",Mentor reviews,Rarely,Not finishing,1
26,Undergraduate,Arts,Self-Learning,₹10k–30k,Daily,"One-on-one mentoring, Flashcards",Coursera,Evening,45–60 mins,Peer pressure,"Lack of support, Time management",Laptop,5,Yes,Adaptive quizzes,403.69,Interactive modules,"Regional, Hindi",Yes,"Peer usage, App reviews, Certifications",Score tracking,Often,Not finishing,5
26,High School,Law,Coaching Institute,₹10k–30k,Daily,"Group discussions, Flashcards, Video lectures","Coursera, Unacademy, BYJU'S",Late night,>60 mins,Parental push,"Time management, Hard to understand, Lack of support",Tablet,4,Yes,Gamification,511.26,AI tutor,"Mix of English + Regional, Hindi",Yes,"Better structure, Trial success",Achievement badges,Often,Too boring,5
21,Undergraduate,Science,Coaching Institute,₹10k–30k,Often,"Flashcards, Interactive quizzes","Khan Academy, None, Udemy",Morning,45–60 mins,Career goals,"Hard to understand, Procrastination, Lack of support",Laptop,5,Yes,Personalized schedules,368.0,AI tutor,"English, Regional",Yes,"App reviews, Better grades, Trial success",Score tracking,Occasionally,Not understanding,4
